Track_Name,Artist_Name,Genre,Loudness__dB,Speechiness
Señorita,Shawn Mendes,canadian pop,-6,3
China,Anuel AA,reggaeton flow,-4,9
boyfriend (with Social House),Ariana Grande,dance pop,-4,46
Beautiful People (feat. Khalid),Ed Sheeran,pop,-8,19
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,-4,7
I Don't Care (with Justin Bieber),Ed Sheeran,pop,-5,4
Ransom,Lil Tecca,trap music,-6,29
How Do You Sleep?,Sam Smith,pop,-5,9
Old Town Road - Remix,Lil Nas X,country rap,-6,10
bad guy,Billie Eilish,electropop,-11,38
Callaita,Bad Bunny,reggaeton,-5,31
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,-4,7
Someone You Loved,Lewis Capaldi,pop,-6,3
Otro Trago - Remix,Sech,panamanian pop,-2,20
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,-4,5
No Guidance (feat. Drake),Chris Brown,dance pop,-7,15
LA CANCIÓN,J Balvin,latin,-6,32
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,-6,5
Lalala,Y2K,canadian hip hop,-8,8
Truth Hurts,Lizzo,escape room,-3,11
Piece Of Your Heart,MEDUZA,pop house,-7,3
Panini,Lil Nas X,country rap,-6,8
No Me Conoce - Remix,Jhay Cortez,reggaeton flow,-4,7
Soltera - Remix,Lunay,latin,-4,4
bad guy (with Justin Bieber),Billie Eilish,electropop,-11,30
If I Can't Have You,Shawn Mendes,canadian pop,-4,6
Dance Monkey,Tones and I,australian pop,-6,10
It's You,Ali Gatie,canadian hip hop,-7,3
Con Calma,Daddy Yankee,latin,-3,6
QUE PRETENDES,J Balvin,latin,-4,25
Takeaway,The Chainsmokers,edm,-8,4
7 rings,Ariana Grande,dance pop,-11,33
0.958333333,Maluma,reggaeton,-5,28
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,-7,15
Never Really Over,Katy Perry,dance pop,-5,6
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,-7,6
Otro Trago,Sech,panamanian pop,-5,34
Antisocial (with Travis Scott),Ed Sheeran,pop,-5,5
Sucker,Jonas Brothers,boy band,-5,6
"fuck, i''m lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop,-6,7
Higher Love,Kygo,edm,-7,3
You Need To Calm Down,Taylor Swift,dance pop,-6,5
Shallow,Lady Gaga,dance pop,-6,3
Talk,Khalid,pop,-9,13
Con Altura,ROSALÍA,r&b en espanol,-4,12
One Thing Right,Marshmello,brostep,-2,5
Te Robaré,Nicky Jam,latin,-4,6
Happier,Marshmello,brostep,-3,5
Call You Mine,The Chainsmokers,edm,-6,3
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,-6,12
